APOE4,AT8,Iba1
N,1222,8152
N,2,5733
N,1561,8824
Y,118,1119
N,100,448
Y,88,3218
Y,9,10146
N,411,13883
N,0,4669
N,348,5033
N,0,4326
N,42,2676
N,1123,5250
Y,24,5662
Y,284,3224
Y,371,9093
N,937,20899
N,11,8440
Y,50,8490
N,1581,16436
N,311,3087
N,1,4192
Y,515,8326
N,166,3721
N,38,7037
N,67,2497
N,0,4788
N,42,7727
N,1,3522
N,369,6666
N,4,4696
N,9,4665
N,1129,2538
N,327,8403
Y,598,7285
N,735,2812
Y,95,2886
N,14,9950
N,0,5660
Y,58,10111
N,1377,3735
N,14,13693
N,3,3275
Y,8,5351
N,1,3674
N,77,1793
Y,335,4627
N,38,2654
N,661,8838
Y,71,3687
Y,33,6383
N,54,4935
N,29,4261
N,1013,6094
N,0,8307
N,18,15256
N,787,12683
N,0,8871
N,244,716
N,0,5075
N,403,3820
N,7,6363
Y,4,6736
Y,4,9002
N,19,18014
Y,199,17977
Y,576,5861
Y,186,6787
N,9,8678
Y,1050,12257
Y,2,101
N,2008,12461
N,17,7279
N,335,2306
N,810,345
N,743,7300
Y,636,5334
N,13,19375
Y,2,9266
N,706,5182
N,839,5887
Y,175,6505
N,1723,5874
N,6,3622
